sep=;
eventid;year;month;day;country;country_txt;region_txt;provstate;city;latitude;longitude;specificity;vicinity;location;summary;crit1;crit2;crit3;doubtterr;multiple;success;suicide;attacktype1;attacktype1_txt;attacktype2;attacktype2_txt;attacktype3;attacktype3_txt;targtype1;targtype1_txt;targsubtype1;targsubtype1_txt;corp1;target1;natlty1;natlty1_txt;targtype2;targtype2_txt;targsubtype2;targsubtype2_txt;corp2;target2;natlty2;natlty2_txt;gname;gsubname;gname2;gsubname2;gname3;gsubname3;motive;guncertain1;individual;nperps;nperpcap;claimed;claimmode;claimmode_txt;claim2;weaptype1_txt;weapsubtype1;weapsubtype1_txt;weaptype2;weaptype2_txt;weapsubtype2;weapsubtype2_txt;weapdetail;nkill;nkillus;nkillter;nwound;nwoundus;nwoundte;property;propextent;propextent_txt;propvalue;propcomment;ishostkid;nhostkid;nhostkidus;nhours;ndays;divert;kidhijcountry;ransom;hostkidoutcome;hostkidoutcome_txt;nreleased;addnotes;scite1;scite2;scite3;dbsource;INT_LOG;INT_IDEO;INT_MISC;INT_ANY;adatforras
200811030024;2008;11;3;153;Pakistan;South Asia;North-West Frontier Province;N/A;34.95262;72.331113;4;0;N/A;11/03/2008: On Monday, in an unspecified location within the tribal regions of North-West Frontier, Pakistan, assailants hanged one Afghan and four Pakistani civilians for allegedly spying for United States forces. The victims were identified as Muhibullah from Afghanistan, and Younus, Barmal Khan, Jamal and Munir who were residents of Pakistan. The Taliban claimed responsibility. Qari Zainul Abedin, introducing himself as spokesman for Pakistani militants in the tribal region told Pajhwok Afghan News over telephone from an undisclosed location that the suspects were hanged based on a decree of Baitullah Masaud, head of Tehreek-e-Taliban Pakistan (TTP). The militants accused the suspects of spying for US soldiers when al-Qaeda commander Abu Lais Al-Libi was killed during a US drone attack along with some other foreign militants in the South Waziristan on January 29th. According to Abedin, the decree of their hanging was released after lengthy investigation by Taliban fighters.;1;1;1;0;0;1;0;8;Unarmed Assault;N/A;N/A;N/A;N/A;14;Private Citizens & Property;67;Unnamed Civilian/Unspecified;N/A;Pakistani civilians;153;Pakistan;14;Private Citizens & Property;71;Race/Ethnicity Identified;N/A;An Afghan civilian was targeted.;4;Afghanistan;Tehrik-i-Taliban Pakistan (TTP);N/A;N/A;N/A;N/A;N/A;Spying for US soldiers in the case of the killing of al-Qaeda commander Abu Lais Al-Libi and other foreign militants in the South Waziristan on January 29th is the alleged motive for the attack.;0;0;-99;0;1;2;Call (post-incident);N/A;Melee;24;Rope or Other Strangling Device;N/A;N/A;N/A;N/A;Hanging was used in the attack.;5;0;0;0;0;0;0;4;Unknown;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Qari Zainul Abedin was involved in the claim of responsibility on behalf of the Taliban for the attack.;"Pajhwok Afghan News ""Pak Taliban Executes Five on Suspicion of Spying for US,"" Lexis Nexis, Pajhwok Afghan News, November 03, 2008.";"National Counterterrorism Center, ""Five Civilians Killed in Assault By Taliban in North-West Frontier, Pakistan"", Worldwide Incidents Tracking System, November 19, 2009.";N/A;ISVG;0;1;1;1;GTD
200811080002;2008;11;8;153;Pakistan;South Asia;Federally Administered Tribal Areas;Miran Shah;33.006516;70.068253;1;1;The victims were kidnapped from Miranshah and were later killed and their bodies were dumped near the Danday Darpakhel village on the main Ghulam Khan-Khost Road, about 10 kilometres north of Miranshah.;"11/08/2008: On Saturday, Taliban militants killed two Afghan civilians, identified as Muhammad Saeed Khan Mandozi and Alam Khan Sabarai, whom were kidnapped and accused of spying for US-led forces in North Waziristan, Federally Administered Tribal Areas, Pakistan. The bullet-riddled bodies of the victims were thrown on main Ghulam Khan-Khost road near Danday Darpakhel village, about 10 kilometres north of Miramshah on 11/8/2008. A note left on their bodies in Pashto language said the victims were kidnapped from Khost earlier in the week and had confessed to being spies, said a local administration official. Also written on the notes, which were pinned to each of the bodies, was ""See the fate of this man. He was an Amercian spy"". According to The News, Tribal sources by telephone said that the two Afghan nationals were taken into custody from Miranshah, North Waziristan a few days ago. ""During interrogation, both of them confessed to have been sent by the US and Afghan military officials with a task of spying for them on Taleban militants in North Waziristan. They admitted of being heavily paid by the US military and their job was to assist drones to fire missiles on accurate targets,"" a militant commander told this scribe by telephone from Miramshah, but wished not to be named. He claimed both of them admitted to have passed on information to the US forces in Afghanistan that later resulted in air strikes on various villages in Miramshah and Mirali by pilot-less spy planes. The militants claimed they had recovered satellite phones, Afghan and Pakistani currency and some devices used in marking targets for drones.";1;1;1;0;0;1;0;6;Hostage Taking (Kidnapping);2;Armed Assault;N/A;N/A;14;Private Citizens & Property;71;Race/Ethnicity Identified;N/A;Two Afghan civilians;4;Afghanistan;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taliban;N/A;N/A;N/A;N/A;N/A;The Afghan civilians admitted to being spies for US-led forces in Afghanistan. They also admitted to being paid for their jobs in assisting in directing the drones to fire missiles on accurate targets.;0;0;-99;0;1;5;Note left at scene;N/A;Firearms;5;Unknown Gun Type;N/A;N/A;N/A;N/A;Unknown firearms were used in the attack.;2;0;0;0;0;0;0;4;Unknown;N/A;N/A;1;2;0;N/A;10;N/A;N/A;-9;4;Hostage(s) killed (not during rescue attempt);0;The available sources provide discrepancies in the manner of the killing of the Afghan civilians and the location of the original hostage taking. Three of the sources detail that the victims were bullet-ridden and one other source details that the victims were beheaded. Also one source details that the victims were kidnapped from Khost, Afghanistan and another source details that victims were kidnapped from Miranshah, Pakistan.    The sources also detail more than one form of claim that was made by the Taliban. Two sources detail that a note was left by the bodies saying the men were spies for US forces and another source details that a claim was made by telephone claiming they were spies and were being paid to give information that would direct drones to fire missiles on accurate targets.  One source also details that the victims confessed their crime on videotape.;"National Counterterrorism Center, ""Two Civilians Kidnapped and Killed by Suspected TTP in North Waziristan, Federally Administered Tribal Areas, Pakistan"", Worldwide Incidents Tracking System, November 20, 2009.";"Associated Press Worldstream, ""Taliban Militants Kill Two 'Spies' in Pakistan: Officials"", Associated Press, November 08, 2008.";"Associated Press/ AP (United States), ""Militants In Pakistan KillTwo Alleged US Spies"", Associated Press, November 08, 2008.";ISVG;1;0;1;1;GTD
200812210029;2008;12;21;97;Israel;Middle East & North Africa;Southern;Sederot;31.5282;34.596382;1;0;N/A;12/21/2008: On Sunday, in the morning, in Sederot, Southern District, Israel, assailants fired eight rockets and one mortar at a community, wounding one foreign farm worker from Thailand and damaging a residence and several greenhouses. Al-Quds Brigades claimed responsibility.;1;1;1;0;0;1;0;3;Bombing/Explosion;N/A;N/A;N/A;N/A;14;Private Citizens & Property;75;Village/City/Town/Suburb;N/A;A community in Sederot;97;Israel;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Palestinian Islamic Jihad (PIJ);Al Quds Brigades;N/A;N/A;N/A;N/A;The specific motive for the attack is unknown.;0;0;-99;0;1;10;Unknown;N/A;Explosives;11;Projectile (rockets, mortars, RPGs, etc.);N/A;N/A;N/A;N/A;Eight rockets were used in the attack.;0;0;0;1;0;0;1;4;Unknown;N/A;The attack caused an unknown amount of property damage to one residence and several greenhouses.;0;N/A;N/A;N/A;N/A;N/A;N/A;-9;N/A;N/A;N/A;N/A;"National Counterterrorism Center, ""One Civilian Wounded in Armed Attack by Al-Quds Brigades in Sederot, Southern District, Israel,"" Worldwide Incidents Tracking System, December 1, 2009.";"BBC Monitoring Middle East, ""Gaza Groups Fire Rockets at Israel; Israeli drone Hits Launch Pad,"" LexisNexis Academic, Ma'an News Agency, December 21, 2008.";N/A;ISVG;1;0;0;1;GTD
200908120017;2009;8;12;153;Pakistan;South Asia;Federally Administered Tribal Areas;South Waziristan district;32.320237;69.859741;3;0;In Sararogha area in South Waziristan, Federally Administered Tribal Areas.;08/12/2009: On Wednesday, fierce clashes broke out between supporters of the late Baitullah Mehsud, and rival Turkistan Baitani in northwest Pakistan's South Waziristan tribal agency. Officials said that some 600 Taliban fighters from Baitullah group attacked a base of Turkistan Baitani in Sararogha area in South Waziristan and killed seven of his fighters. They also burned around 35 houses of the supporters of the Baitani faction and kidnapped 15 of his fighters. On the other hand, the pro-government Turkistan Baitani has claimed that his fighters killed up to 70 of Baitullah men. However there was no independent confirmation of his claim.  The status of the hostages is unknown.;1;1;1;0;0;1;0;2;Armed Assault;6;Hostage Taking (Kidnapping);7;Facility/Infrastructure Attack;17;Terrorists/Non-State Militia;N/A;N/A;Turkistan Baitani;A base of Turkistan Baitani in Sararogha area.;153;Pakistan;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Tehrik-i-Taliban Pakistan (TTP);N/A;N/A;N/A;N/A;N/A;The specific motive for the attack is unknown.;0;0;600;0;0;N/A;N/A;N/A;Incendiary;18;Arson/Fire;13;Unknown;N/A;N/A;An unknown incendiary device was used in the attack. Unknown weapons were used in the attack.;70;0;1;0;0;0;1;4;Unknown;N/A;Thirty five houses were burned down.;1;15;0;N/A;-99;N/A;N/A;0;7;Unknown;-99;N/A;"chinaview.cn, ""70 Killed in Pakistan Clashes,"" http://news.xinhuanet.com/english/2009-08/13/content_11874675.htm (August 17, 2009)";"Pajhwok Afghan News, ""One Hundred Killed in Jandola Fighting,"" LexisNexis Academic, Pajhwok Afghan News, August 12, 2009.";"CNN (Cable News Network), ""Fourteen Dead in Pakistan in Suspected drone Strike,"" LexisNexis Academic, CNN, August 12, 2009.";ISVG;0;0;0;0;GTD
201007010001;2010;7;1;74;Georgia;Central Asia;Zugdidi;Ganmukhuri;42.426836;41.62898;1;0;The attack occurred at a police checkpoint in the village of Ganmukhuri near Zugdidi.;07/01/2010: On Thursday, in the village of Ganmukhuri near Zugdidi, Georgia, unidentified assailants fired upon a police checkpoint for about 15 minutes, wounding one policeman in the attack. An unmanned aerial vehicle was also spotted in the aftermath of the incident. No damage was reported and no group claimed responsibility, although Georgia blamed Abkhazian separatist forces.;1;1;1;0;0;1;0;2;Armed Assault;N/A;N/A;N/A;N/A;3;Police;24;Police Checkpoint;Zugdidi Law Enforcement;A police checkpoint was targeted in the attack.;74;Georgia;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Unknown;N/A;N/A;N/A;N/A;N/A;The specific motive for the attack is unknown.;0;0;-99;0;0;N/A;N/A;N/A;Firearms;5;Unknown Gun Type;N/A;N/A;N/A;N/A;Unknown firearms were used in the attack.;0;0;0;1;0;0;0;N/A;N/A;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;"Reuters, ""Georgian Policeman Wounded in Shooting near Abkhazia,"" Reuters, July 1, 2010, http://www.alertnet.org/thenews/newsdesk/LDE66016I.htm.";"BBC Monitoring Trans Caucasus Unit, ""Rebel Abkhazia Denies Attacking Georgian Police Checkpoint,"" LexisNexis Academic, Interfax, July 1, 2010.";"BBC Monitoring Trans Caucasus Unit, ""Georgian Police Post Said Attacked near Rebel Abkhazia,"" LexisNexis Academic, Rustavi-2, July 1, 2010.";ISVG;-9;-9;0;-9;GTD
201008150004;2010;8;15;95;Iraq;Middle East & North Africa;Baghdad;Baghdad;33.303566;44.371773;1;0;The attack took place in Baghdad, Baghdad, Iraq.;08/15/2010: On Sunday night at 2200, in a residential apartment block, in Al Mahmudiyah district, Baghdad, Baghdad, Iraq, unknown assailants detonated an improvised explosive device, wounding six civilians. No damages were reported. No group claimed responsibility.;1;1;1;0;0;1;0;3;Bombing/Explosion;N/A;N/A;N/A;N/A;14;Private Citizens & Property;67;Unnamed Civilian/Unspecified;N/A;Civilians were targeted in the bombing.;95;Iraq;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Unknown;N/A;N/A;N/A;N/A;N/A;The specific motive for the attack is unknown.;0;0;-99;0;0;N/A;N/A;N/A;Explosives;17;Other Explosive Type;N/A;N/A;N/A;N/A;An improvised explosive device was used in the attack.;0;0;0;6;0;0;-9;N/A;N/A;N/A;It is unknown if the attack caused any property damage.;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;"Reuters, ""FACTBOX- Security Developments in Iraq, Aug 15,"" Reuters, August 15, 2010, http://www.alertnet.org/thenews/newsdesk/LDE67E0CO.htm.";"McClatchy Newspapers, Mohammed Al Dulaimy, ""Round-up of Daily Violence in Iraq – Sunday 15 August 2010,"" http://www.mcclatchydc.com/2010/08/15/99209/round-up-of-daily-violence-in.html#ixzz0wyRcDJAo (August 15, 2010).";"BBC Monitoring Middle East, ""US drone Crashes; Two Americans Arrested in Diyala - Iraqi TV Update,"" LexisNexis Academic, BBC Monitoring Middle East, August 16, 2010.";ISVG;-9;-9;0;-9;GTD
201008270005;2010;8;27;153;Pakistan;South Asia;Federally Administered Tribal Areas;Kurram district;33.695975;70.336069;3;0;In the Sapire Kot area of Kurram, Federally Administered Tribal Areas, Pakistan.;08/27/2010: On Friday, in the Sapire Kot area of Kurram, Federally Administered Tribal Areas, Pakistan, unidentified militants abducted Haji Said Anwar, the father of a Khyber Pakhtunkhwa Assembly member, by gunpoint while he was on his way home and took him away to an unknown location. The status of the hostage and the outcome of the situation are unknown, and no group has claimed responsibility.;1;1;1;0;0;1;0;6;Hostage Taking (Kidnapping);N/A;N/A;N/A;N/A;2;Government (General);18;Government Personnel (excluding police, military);N/A;Haji Said Anwar, the father of a Khyber Pakhtunkhwa Assembly member,;153;Pakistan;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Unknown;N/A;N/A;N/A;N/A;N/A;The specific motive for the attack is unknown.;0;0;-99;0;0;N/A;N/A;N/A;Unknown;N/A;N/A;N/A;N/A;N/A;N/A;It is unknown if weapons were used in the attack.;0;0;0;0;0;0;0;N/A;N/A;N/A;N/A;1;1;0;N/A;-99;N/A;N/A;0;7;Unknown;-99;The status of the hostage and the outcome of the situation are unknown.;"South Asia Terrorism Portal, ""drone Strike Kills Four Militants in FATA,"" http://www.satp.org/satporgtp/detailed_news3.asp?date3=2010%2F8%2F28 (August 28, 2010).";"Right Vision News, ""Militants Kidnap Father of MPA,"" LexisNexis Academic, Right Vision News, August 29, 2010.";N/A;ISVG;-9;-9;0;-9;GTD
201010090014;2010;10;9;153;Pakistan;South Asia;Federally Administered Tribal Areas;Safi;34.574856;71.276081;1;0;In the Safi sub-district of Mohmand, Federally Administered Tribal Areas, Pakistan.;10/09/2010: On Saturday night, in the Safi sub-district of Mohmand, Federally Administered Tribal Areas, Pakistan, in one of three linked attacks, unidentified militants detonated remote controlled explosives in a government run boys’ middle school, but no casualties were reported. The attack caused an unknown amount of property damage and no group claimed responsibility.;1;1;1;0;1;1;0;3;Bombing/Explosion;N/A;N/A;N/A;N/A;8;Educational Institution;49;School/University/Educational Building;Pakistani Government;A government run school was targeted in the attack.;153;Pakistan;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Unknown;N/A;N/A;N/A;N/A;N/A;The specific motive for the attack is unknown.;0;0;-99;0;0;N/A;N/A;N/A;Explosives;17;Other Explosive Type;N/A;N/A;N/A;N/A;An improvised explosive device was used in the attack.;0;0;0;0;0;0;1;3;Minor (likely < $1 million);N/A;The attack caused an unknown amount of property damage to the school.;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Jane’s Intelligence, “Unidentified Militants Blow up Three Schools in Pakistan's Mohmand Agency,” Terrorism Watch Report, Dawn, October 11, 2010.;"South Asia Terrorism Portal, ""Seven Militants Killed in Two drone Attacks in FATA,"" Dawn, http://www.satp.org/satporgtp/detailed_news3.asp?date3=2010%2F10%2F11#2 (October 11, 2010).";Right Vision News, “Three Schools Bombed in Mohmand,” LexisNexis Academic, Hindustan Times, October 12, 2010.;ISVG;-9;-9;0;-9;GTD
201010090015;2010;10;9;153;Pakistan;South Asia;Federally Administered Tribal Areas;Safi;34.574856;71.276081;1;0;At a school in Safi tehsil of Mohmand, Federally Administered Tribal Areas, Pakistan.;10/09/2010: On Saturday night, in the Safi sub-district of Mohmand, Federally Administered Tribal Areas, Pakistan, in one of three related attacks, unidentified militants detonated remote controlled explosives in a government run primary school for boys, but no casualties were reported. The attack caused an unknown amount of property damage and no group claimed responsibility.;1;1;1;0;1;1;0;3;Bombing/Explosion;N/A;N/A;N/A;N/A;8;Educational Institution;49;School/University/Educational Building;Pakistani Government;A government run primary school for boys was targeted in the attack.;153;Pakistan;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Unknown;N/A;N/A;N/A;N/A;N/A;The specific motive for the attack is unknown.;0;0;-99;0;0;N/A;N/A;N/A;Explosives;17;Other Explosive Type;N/A;N/A;N/A;N/A;An improvised explosive device was used in the attack.;0;0;0;0;0;0;1;3;Minor (likely < $1 million);N/A;The attack caused an unknown amount of property damage to the school.;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Jane’s Intelligence, “Unidentified Militants Blow up Three Schools in Pakistan's Mohmand Agency,” Terrorism Watch Report, Dawn, October 11, 2010.;"South Asia Terrorism Portal, ""Seven Militants Killed in Two drone Attacks in FATA,"" Dawn, http://www.satp.org/satporgtp/detailed_news3.asp?date3=2010%2F10%2F11#2 (October 11, 2010).";Right Vision News, “Three Schools Bombed in Mohmand,” LexisNexis Academic, Hindustan Times, October 12, 2010.;ISVG;-9;-9;0;-9;GTD
201010090016;2010;10;9;153;Pakistan;South Asia;Federally Administered Tribal Areas;Safi;34.574856;71.276081;1;0;N/A;10/09/2010: On Saturday, in the Safi sub-district of Mohmand, Federally Administered Tribal Areas, Pakistan, in one of three related attacks, unidentified militants detonated remote controlled explosives in a government run primary school for girls, but no casualties were reported. The attack caused an unknown amount of property damage and no group claimed responsibility.;1;1;1;0;1;1;0;3;Bombing/Explosion;N/A;N/A;N/A;N/A;8;Educational Institution;49;School/University/Educational Building;Pakistani Government;A government run primary school for girls;153;Pakistan;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Unknown;N/A;N/A;N/A;N/A;N/A;The specific motive for the attack is unknown.;0;0;-99;0;0;N/A;N/A;N/A;Explosives;17;Other Explosive Type;N/A;N/A;N/A;N/A;An improvised explosive device was used in the attack.;0;0;0;0;0;0;1;3;Minor (likely < $1 million);N/A;The attack caused an unknown amount of property damage to the school.;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Jane’s Intelligence, “Unidentified Militants Blow up Three Schools in Pakistan's Mohmand Agency,” Terrorism Watch Report, Dawn, October 11, 2010.;"South Asia Terrorism Portal, ""Seven Militants Killed in Two drone Attacks in FATA,"" Dawn, http://www.satp.org/satporgtp/detailed_news3.asp?date3=2010%2F10%2F11#2 (October 11, 2010).";Right Vision News, “Three Schools Bombed in Mohmand,” LexisNexis Academic, Hindustan Times, October 12, 2010.;ISVG;-9;-9;0;-9;GTD
